sku,product_name,category,base_price_gbp,cost_price_gbp,floor_price_gbp,current_clearance_active
SKU-1001,Product 1,Electronics,120.0,72.0,45.0,False
SKU-1002,Product 2,Grocery,120.0,72.0,45.0,False
SKU-1003,Product 3,Home,120.0,72.0,45.0,False
SKU-1004,Product 4,Fashion,120.0,72.0,45.0,False
SKU-1005,Product 5,Health,120.0,72.0,45.0,False
SKU-1006,Product 6,Toys,439.4,336.09,393.63,False
SKU-1007,Product 7,Seasonal,346.1,272.85,268.84,False
SKU-1008,Product 8,Electronics,356.94,234.64,316.74,False
SKU-1009,Product 9,Grocery,70.73,55.93,52.43,False
SKU-1010,Product 10,Home,210.92,147.32,194.01,False
SKU-1011,Product 11,Fashion,176.3,115.19,150.41,False
SKU-1012,Product 12,Health,418.14,284.56,355.43,False
SKU-1013,Product 13,Toys,295.08,227.82,217.8,False
SKU-1014,Product 14,Seasonal,372.9,233.81,335.39,False
SKU-1015,Product 15,Electronics,207.89,134.78,150.89,False
SKU-1016,Product 16,Grocery,113.85,73.17,87.46,False
SKU-1017,Product 17,Home,256.24,202.06,191.82,False
SKU-1018,Product 18,Fashion,42.76,33.79,37.43,False
SKU-1019,Product 19,Health,375.02,224.03,284.88,False
SKU-1020,Product 20,Toys,289.77,209.96,261.41,False
SKU-1021,Product 21,Seasonal,55.0,30.0,35.0,True
SKU-1022,Product 22,Electronics,55.0,30.0,35.0,True
SKU-1023,Product 23,Grocery,437.25,288.98,315.29,False
SKU-1024,Product 24,Home,403.51,238.33,294.7,False
SKU-1025,Product 25,Fashion,353.6,265.64,297.44,False
SKU-1026,Product 26,Health,99.67,59.61,87.74,False
SKU-1027,Product 27,Toys,218.02,177.48,167.38,False
SKU-1028,Product 28,Seasonal,34.05,23.38,30.3,False
SKU-1029,Product 29,Electronics,82.12,54.84,60.07,False
SKU-1030,Product 30,Grocery,312.13,248.01,274.73,False
SKU-1031,Product 31,Home,338.97,266.54,306.96,False
SKU-1032,Product 32,Fashion,435.87,313.57,381.13,False
SKU-1033,Product 33,Health,156.73,92.17,134.73,False
SKU-1034,Product 34,Toys,176.15,119.24,156.35,False
SKU-1035,Product 35,Seasonal,219.26,130.7,159.63,False
SKU-1036,Product 36,Electronics,97.42,61.08,74.07,False
SKU-1037,Product 37,Grocery,71.52,50.62,53.28,False
SKU-1038,Product 38,Home,221.93,140.18,182.18,False
SKU-1039,Product 39,Fashion,113.71,92.76,98.82,False
SKU-1040,Product 40,Health,306.37,243.2,259.19,False
SKU-1041,Product 41,Toys,205.16,127.39,182.64,False
SKU-1042,Product 42,Seasonal,377.22,237.18,283.31,False
SKU-1043,Product 43,Electronics,319.62,244.24,277.09,False
SKU-1044,Product 44,Grocery,150.88,104.5,114.46,False
SKU-1045,Product 45,Home,377.03,254.33,291.88,False
SKU-1046,Product 46,Fashion,365.07,223.33,314.68,False
SKU-1047,Product 47,Health,183.55,123.94,168.14,False
SKU-1048,Product 48,Toys,140.42,101.24,118.28,False
